id,Creative Habits,Creative Species,Top Species Habits,Gender,Discipline,Cluster,n_Creative_Habits,ClusterBridging,ClusterCentrality,Cluster_Fraction,x_tsne,y_tsne,label,OriginalLabel,OriginalX,OriginalY,OriginalSize
24,Monotasker|Collaborator|Outwardly Inspired|Internally Motivated|Tidy|Pragmatist|Risk-Friendly|Let It Happen|Tenacious|Quiet/Silence|Nature-Lover|Novelty-Seeker|Stifled By Constraints|Night Owl,Focus Mononovous,"Novelty-Seeker, Monotasker, Stifled By Constraints, Quiet/Silence, Dislike Distractions",Female,,Creative Species 4,14,0.2438211874204933,0.7894496632670174,0.1397280182705284,-0.4445085525512695,3.072511911392212,24,24,-0.4445085525512695,3.072511911392212,10
25,Specialist|Solo Creator|Self-Critical|Dislike Distractions|Outwardly Inspired|Rational|Internally Motivated|NonKinetic|Comforting Mess|Slow-Paced|Pragmatist|Risk-Averse|Let It Happen|Reframer|Private Spaces|Nature-Agnostic|Novelty-Seeker|Stifled By Constraints|Night Owl,Solo Noctus,"Stifled By Constraints, Internally Motivated, Solo Creator, Night Owl, Risk-Averse",Male,Science-Engineering|Business-Entrepreneurship|Arts-Design,Creative Species 7,20,3.769266485363547,0.1759162867128371,0.04245821654728537,-27.61813354492188,8.471364974975586,25,25,-27.61813354492188,8.471364974975586,10
31,Generalist|Solo Creator|Self-Critical|Dislike Distractions|Intuitive|Internally Motivated|NonKinetic|Comforting Mess|Risk-Friendly|Let It Happen|Tenacious|Private Spaces|Quiet/Silence|Nature-Agnostic|Novelty-Seeker|Stimulated By Constraints|Night Owl,Yolo Chaotis,"Novelty-Seeker, Risk-Friendly, Stifled By Constraints, Internally Motivated, Multitasker",Male,Arts-Design,Creative Species 2,17,2.395035076570143,0.3409670485788189,0.1993148551853005,2.221731662750244,17.43427467346191,31,31,2.221731662750244,17.43427467346191,10
37,Multitasker|Inwardly Inspired|Intuitive|Internally Motivated|Pragmatist|Risk-Friendly|Let It Happen|Tenacious|Noise/Music|Novelty-Seeker|Stimulated By Constraints|Night Owl,Yolo Chaotis,"Novelty-Seeker, Risk-Friendly, Stifled By Constraints, Internally Motivated, Multitasker",Male,Arts-Design,Creative Species 2,12,-0.9463927305757337,0.09754681435815156,0.1993148551853005,17.04850578308105,16.12966918945312,37,37,17.04850578308105,16.12966918945312,10
41,Multitasker|Solo Creator|Self-Critical|Dislike Distractions|Outwardly Inspired|Rational|Externally Motivated|Kinetic|Fast-Paced|Risk-Friendly|Let It Happen|Reframer|Noise/Music|Novelty-Seeker|Stifled By Constraints|Night Owl,Novo Gregarious,"Novelty-Seeker, Externally Motivated, Outwardly Inspired, Collaborator, Noise/Music",,,Creative Species 5,17,3.620816364586982,1.248786930552556,0.1024602927436936,20.82707977294922,-11.8950834274292,41,41,20.82707977294922,-11.8950834274292,10
43,Multitasker|Dislike Distractions|Outwardly Inspired|Externally Motivated|Perfectionist|Risk-Friendly|Reframer|Quiet/Silence|Nature-Agnostic|Novelty-Seeker|Stimulated By Constraints|Night Owl,Socialis Adventurous,"Collaborator, Risk-Friendly, Multitasker, Reframer, Kinetic",Female,,Creative Species 3,13,-0.3208605280911077,0.1271473363192424,0.1881033945811274,14.66378211975098,-2.511054992675781,43,43,14.66378211975098,-2.511054992675781,10
52,Specialist|Solo Creator|Dislike Distractions|Outwardly Inspired|Externally Motivated|Kinetic|Perfectionist|Make It Happen|Tenacious|Quiet/Silence|Nature-Lover|Novelty-Seeker|Stifled By Constraints|Early Bird,Focus Mononovous,"Novelty-Seeker, Monotasker, Stifled By Constraints, Quiet/Silence, Dislike Distractions",Male,Science-Engineering|Business-Entrepreneurship|Arts-Design,Creative Species 4,15,-0.8558873477395788,0.04068270342703184,0.1397280182705284,-2.190076589584351,-3.841678619384766,52,52,-2.190076589584351,-3.841678619384766,10
58,Multitasker|Solo Creator|Self-Critical|Inwardly Inspired|Intuitive|Internally Motivated|Comforting Mess|Risk-Friendly|Let It Happen|Reframer|Private Spaces|Noise/Music|Nature-Lover|Novelty-Seeker|Night Owl,Yolo Chaotis,"Novelty-Seeker, Risk-Friendly, Stifled By Constraints, Internally Motivated, Multitasker",Male,Science-Engineering|Arts-Design,Creative Species 2,16,-0.8639624473734647,3.175657294116309,0.1993148551853005,6.962346076965332,18.46301078796387,58,58,6.962346076965332,18.46301078796387,10
59,Monotasker|Solo Creator|Dislike Distractions|Outwardly Inspired|Externally Motivated|Kinetic|Tidy|Perfectionist|Risk-Averse|Make It Happen|Tenacious|Quiet/Silence|Routine-Seeker|Stimulated By Constraints|Night Owl,Mono Routinus,"Risk-Averse, Routine-Seeker, Dislike Distractions, Monotasker, Make It Happen",Male,Science-Engineering|Business-Entrepreneurship,Creative Species 1,15,-0.5901073242794858,1.377068668156245,0.2128101318384719,-18.47500038146973,-11.22939300537109,59,59,-18.47500038146973,-11.22939300537109,10
66,Solo Creator|Dislike Distractions|Inwardly Inspired|Rational|Externally Motivated|Kinetic|Comforting Mess|Slow-Paced|Risk-Averse|Make It Happen|Tenacious|Private Spaces|Nature-Lover|Routine-Seeker|Stimulated By Constraints|Night Owl,Mono Routinus,"Risk-Averse, Routine-Seeker, Dislike Distractions, Monotasker, Make It Happen",Male,,Creative Species 1,16,-0.8211674864368597,0.6894407597242564,0.2128101318384719,-31.36233520507812,-11.81078243255615,66,66,-31.36233520507812,-11.81078243255615,10
67,Multitasker|Generalist|Collaborator|Self-Assured|Dislike Distractions|Inwardly Inspired|Internally Motivated|Kinetic|Comforting Mess|Fast-Paced|Risk-Friendly|Let It Happen|Reframer|Quiet/Silence|Nature-Lover|Routine-Seeker|Stimulated By Constraints,Socialis Adventurous,"Collaborator, Risk-Friendly, Multitasker, Reframer, Kinetic",Male,Arts-Design,Creative Species 3,18,0.9592130849499452,0.8108183072865917,0.1881033945811274,11.57921504974365,-1.67500638961792,67,67,11.57921504974365,-1.67500638961792,10
68,Generalist|Solo Creator|Dislike Distractions|Inwardly Inspired|Internally Motivated|Fast-Paced|Pragmatist|Risk-Friendly|Tenacious|Private Spaces|Quiet/Silence|Novelty-Seeker|Stifled By Constraints,Focus Mononovous,"Novelty-Seeker, Monotasker, Stifled By Constraints, Quiet/Silence, Dislike Distractions",Male,Business-Entrepreneurship|Arts-Design,Creative Species 4,14,2.893235922356483,0.6618817150623609,0.1397280182705284,-0.5078219175338745,11.06496715545654,68,68,-0.5078219175338745,11.06496715545654,10
70,Specialist|Collaborator|Self-Critical|Love Distractions|Outwardly Inspired|Rational|Externally Motivated|Comforting Mess|Pragmatist|Risk-Friendly|Reframer|Private Spaces|Quiet/Silence|Nature-Agnostic|Novelty-Seeker|Stimulated By Constraints|Night Owl,Novo Gregarious,"Novelty-Seeker, Externally Motivated, Outwardly Inspired, Collaborator, Noise/Music",Male,Arts-Design,Creative Species 5,18,-0.3625957214518908,1.253511920000558,0.1024602927436936,16.84354782104492,-19.68971252441406,70,70,16.84354782104492,-19.68971252441406,10
74,Monotasker|Specialist|Solo Creator|Self-Assured|Outwardly Inspired|Rational|Externally Motivated|Kinetic|Tidy|Perfectionist|Risk-Averse|Make It Happen|Reframer|Quiet/Silence|Stimulated By Constraints|Night Owl,Mono Routinus,"Risk-Averse, Routine-Seeker, Dislike Distractions, Monotasker, Make It Happen",Female,Science-Engineering|Business-Entrepreneurship|Arts-Design,Creative Species 1,17,-0.6014811412425091,0.07028639246081402,0.2128101318384719,-17.56942367553711,-13.04493808746338,74,74,-17.56942367553711,-13.04493808746338,10
76,Generalist|Solo Creator|Self-Critical|Dislike Distractions|Outwardly Inspired|Intuitive|Internally Motivated|NonKinetic|Comforting Mess|Slow-Paced|Risk-Averse|Let It Happen|Reframer|Private Spaces|Noise/Music|Nature-Lover|Routine-Seeker|Stimulated By Constraints|Night Owl,Sui Inspira,"Routine-Seeker, Private Spaces, Internally Motivated, Solo Creator, Inwardly Inspired",Male,Business-Entrepreneurship,Creative Species 6,20,0.2608680046335525,1.311562432362622,0.09820409010692412,-18.35625839233398,4.949182987213135,76,76,-18.35625839233398,4.949182987213135,10
77,Monotasker|Specialist|Solo Creator|Love Distractions|Outwardly Inspired|Rational|Externally Motivated|NonKinetic|Tidy|Perfectionist|Risk-Averse|Make It Happen|Tenacious|Private Spaces|Quiet/Silence|Routine-Seeker|Night Owl,Mono Routinus,"Risk-Averse, Routine-Seeker, Dislike Distractions, Monotasker, Make It Happen",,,Creative Species 1,17,-0.8211674864368597,1.711985697948702,0.2128101318384719,-28.59062576293945,-14.97883605957031,77,77,-28.59062576293945,-14.97883605957031,10
83,Monotasker|Self-Critical|Dislike Distractions|Inwardly Inspired|Kinetic|Tidy|Slow-Paced|Risk-Friendly|Let It Happen|Reframer|Private Spaces|Quiet/Silence|Nature-Lover|Routine-Seeker|Stifled By Constraints|Night Owl,Sui Inspira,"Routine-Seeker, Private Spaces, Internally Motivated, Solo Creator, Inwardly Inspired",,,Creative Species 6,16,2.828986517882244,0.8531210927181483,0.09820409010692412,-9.9999418258667,11.72052955627441,83,83,-9.9999418258667,11.72052955627441,10
86,Solo Creator|Self-Assured|Love Distractions|Outwardly Inspired|Rational|Externally Motivated|Kinetic|Risk-Friendly|Reframer|Public Spaces|Noise/Music|Novelty-Seeker|Stifled By Constraints|Night Owl,Novo Gregarious,"Novelty-Seeker, Externally Motivated, Outwardly Inspired, Collaborator, Noise/Music",Male,Business-Entrepreneurship|Arts-Design,Creative Species 5,14,0.803621146846167,0.467445375184605,0.1024602927436936,19.5164680480957,-13.91701507568359,86,86,19.5164680480957,-13.91701507568359,10
92,Multitasker|Specialist|Solo Creator|Self-Critical|Dislike Distractions|Outwardly Inspired|Externally Motivated|NonKinetic|Pragmatist|Risk-Averse|Let It Happen|Tenacious|Private Spaces|Quiet/Silence|Nature-Agnostic|Routine-Seeker|Stimulated By Constraints|Early Bird,Mono Routinus,"Risk-Averse, Routine-Seeker, Dislike Distractions, Monotasker, Make It Happen",Male,Arts-Design,Creative Species 1,19,-0.2841706940892766,0.4527914032621736,0.2128101318384719,-29.58688926696777,-12.05705738067627,92,92,-29.58688926696777,-12.05705738067627,10
93,Multitasker|Collaborator|Love Distractions|Outwardly Inspired|Rational|Externally Motivated|Tidy|Let It Happen|Public Spaces|Nature-Lover|Novelty-Seeker|Early Bird,Socialis Adventurous,"Collaborator, Risk-Friendly, Multitasker, Reframer, Kinetic",Female,Arts-Design,Creative Species 3,13,-0.8547887067824074,0.1450500008653244,0.1881033945811274,18.68920516967773,-6.384140014648438,93,93,18.68920516967773,-6.384140014648438,10
103,Multitasker|Generalist|Solo Creator|Self-Assured|Love Distractions|Outwardly Inspired|Intuitive|Externally Motivated|Kinetic|Tidy|Fast-Paced|Pragmatist|Risk-Friendly|Let It Happen|Tenacious|Private Spaces|Noise/Music|Nature-Lover|Novelty-Seeker|Stifled By Constraints|Night Owl,Socialis Adventurous,"Collaborator, Risk-Friendly, Multitasker, Reframer, Kinetic",Male,Science-Engineering|Business-Entrepreneurship|Arts-Design,Creative Species 3,22,3.929487421564463,0.7306081063456901,0.1881033945811274,26.51145362854004,4.673332691192627,103,103,26.51145362854004,4.673332691192627,10
105,Multitasker|Solo Creator|Self-Critical|Inwardly Inspired|Internally Motivated|NonKinetic|Fast-Paced|Let It Happen|Reframer|Noise/Music|Novelty-Seeker|Stifled By Constraints|Night Owl,Yolo Chaotis,"Novelty-Seeker, Risk-Friendly, Stifled By Constraints, Internally Motivated, Multitasker",Male,Science-Engineering|Arts-Design,Creative Species 2,14,-0.8042542565414036,0.80453212063721,0.1993148551853005,7.826788902282715,20.63433074951172,105,105,7.826788902282715,20.63433074951172,10
108,Monotasker|Specialist|Solo Creator|Self-Critical|Dislike Distractions|Inwardly Inspired|Rational|Externally Motivated|Slow-Paced|Risk-Friendly|Tenacious|Private Spaces|Quiet/Silence|Nature-Agnostic|Routine-Seeker|Stifled By Constraints|Night Owl,Mono Routinus,"Risk-Averse, Routine-Seeker, Dislike Distractions, Monotasker, Make It Happen",,,Creative Species 1,18,1.599196477607677,0.1619036182758661,0.2128101318384719,-18.63430404663086,-7.892764568328857,108,108,-18.63430404663086,-7.892764568328857,10
109,Monotasker|Self-Critical|Dislike Distractions|Outwardly Inspired|Rational|Externally Motivated|NonKinetic|Comforting Mess|Pragmatist|Risk-Averse|Tenacious|Private Spaces|Noise/Music|Nature-Agnostic|Stimulated By Constraints|Night Owl,Mono Routinus,"Risk-Averse, Routine-Seeker, Dislike Distractions, Monotasker, Make It Happen",Female,Arts-Design,Creative Species 1,17,-0.4963094804859575,0.3885399285828712,0.2128101318384719,-26.95414161682129,-16.53201484680176,109,109,-26.95414161682129,-16.53201484680176,10
110,Monotasker|Solo Creator|Self-Critical|Outwardly Inspired|Rational|Externally Motivated|Tidy|Pragmatist|Risk-Averse|Make It Happen|Tenacious|Private Spaces|Noise/Music|Nature-Agnostic|Routine-Seeker|Stimulated By Constraints|Night Owl,Mono Routinus,"Risk-Averse, Routine-Seeker, Dislike Distractions, Monotasker, Make It Happen",Male,Business-Entrepreneurship,Creative Species 1,18,-0.7268679592521947,2.625062610159461,0.2128101318384719,-27.05609130859375,-17.23994064331055,110,110,-27.05609130859375,-17.23994064331055,10
112,Monotasker|Solo Creator|Dislike Distractions|Outwardly Inspired|Externally Motivated|Slow-Paced|Risk-Averse|Make It Happen|Tenacious|Private Spaces|Routine-Seeker,Mono Routinus,"Risk-Averse, Routine-Seeker, Dislike Distractions, Monotasker, Make It Happen",Female,Science-Engineering|Arts-Design,Creative Species 1,11,-0.8211674864368597,1.154233913462641,0.2128101318384719,-22.94022560119629,-15.08638572692871,112,112,-22.94022560119629,-15.08638572692871,10
115,Specialist|Solo Creator|Self-Critical|Dislike Distractions|Outwardly Inspired|Rational|Externally Motivated|NonKinetic|Tidy|Slow-Paced|Risk-Averse|Make It Happen|Tenacious|Private Spaces|Nature-Agnostic|Novelty-Seeker|Stimulated By Constraints|Early Bird,Mono Routinus,"Risk-Averse, Routine-Seeker, Dislike Distractions, Monotasker, Make It Happen",Female,Arts-Design,Creative Species 1,18,-0.8211674864368597,1.433109805705671,0.2128101318384719,-23.70578193664551,-9.633698463439941,115,115,-23.70578193664551,-9.633698463439941,10
117,Monotasker|Solo Creator|Self-Critical|Love Distractions|Intuitive|Internally Motivated|Kinetic|Perfectionist|Risk-Friendly|Tenacious|Private Spaces|Noise/Music|Novelty-Seeker|Stifled By Constraints|Night Owl,Yolo Chaotis,"Novelty-Seeker, Risk-Friendly, Stifled By Constraints, Internally Motivated, Multitasker",Male,Science-Engineering,Creative Species 2,16,0.1605500425874608,0.02539769879592163,0.1993148551853005,-1.852621793746948,17.10301208496094,117,117,-1.852621793746948,17.10301208496094,10
119,Multitasker|Generalist|Collaborator|Self-Critical|Dislike Distractions|Outwardly Inspired|Intuitive|NonKinetic|Comforting Mess|Fast-Paced|Risk-Averse|Let It Happen|Reframer|Quiet/Silence|Nature-Lover|Novelty-Seeker|Stimulated By Constraints,Socialis Adventurous,"Collaborator, Risk-Friendly, Multitasker, Reframer, Kinetic",Male,Science-Engineering|Arts-Design,Creative Species 3,17,-0.02645463259492664,0.5752208277682472,0.1881033945811274,12.96988964080811,1.807723045349121,119,119,12.96988964080811,1.807723045349121,10
120,Collaborator|Self-Assured|Dislike Distractions|Outwardly Inspired|Externally Motivated|Comforting Mess|Slow-Paced|Risk-Friendly|Let It Happen|Reframer|Public Spaces|Quiet/Silence|Novelty-Seeker|Stimulated By Constraints|Night Owl,Novo Gregarious,"Novelty-Seeker, Externally Motivated, Outwardly Inspired, Collaborator, Noise/Music",Male,Science-Engineering|Business-Entrepreneurship|Arts-Design,Creative Species 5,15,0.7907070444513986,0.2146175616395068,0.1024602927436936,29.27640533447266,-11.48981285095215,120,120,29.27640533447266,-11.48981285095215,10
121,Multitasker|Generalist|Self-Critical|Dislike Distractions|Externally Motivated|Comforting Mess|Fast-Paced|Perfectionist|Risk-Friendly|Let It Happen|Reframer|Noise/Music|Novelty-Seeker|Night Owl,Yolo Chaotis,"Novelty-Seeker, Risk-Friendly, Stifled By Constraints, Internally Motivated, Multitasker",,,Creative Species 2,15,-0.4525511138153299,0.5430006323896456,0.1993148551853005,10.53297519683838,14.31616020202637,121,121,10.53297519683838,14.31616020202637,10
122,Monotasker|Specialist|Solo Creator|Dislike Distractions|Outwardly Inspired|Externally Motivated|Kinetic|Comforting Mess|Slow-Paced|Pragmatist|Risk-Averse|Make It Happen|Private Spaces|Nature-Agnostic|Routine-Seeker|Night Owl,Mono Routinus,"Risk-Averse, Routine-Seeker, Dislike Distractions, Monotasker, Make It Happen",Male,Science-Engineering,Creative Species 1,17,-0.8211674864368597,1.340151174957995,0.2128101318384719,-22.97464179992676,-13.31747531890869,122,122,-22.97464179992676,-13.31747531890869,10
132,Monotasker|Solo Creator|Self-Critical|Dislike Distractions|Outwardly Inspired|Rational|Externally Motivated|Tidy|Reframer|Nature-Agnostic|Routine-Seeker|Stimulated By Constraints|Early Bird,Mono Routinus,"Risk-Averse, Routine-Seeker, Dislike Distractions, Monotasker, Make It Happen",,,Creative Species 1,14,-0.6120579469913403,0.1545207268332488,0.2128101318384719,-14.9396915435791,-16.04483795166016,132,132,-14.9396915435791,-16.04483795166016,10
134,Monotasker|Collaborator|Self-Critical|Love Distractions|Comforting Mess|Fast-Paced|Perfectionist|Risk-Averse|Reframer|Novelty-Seeker|Stifled By Constraints|Night Owl,Solo Noctus,"Stifled By Constraints, Internally Motivated, Solo Creator, Night Owl, Risk-Averse",Female,Arts-Design,Creative Species 7,12,-1.094858909439209,0.115688799841646,0.04245821654728537,-4.92284107208252,20.7311840057373,134,134,-4.92284107208252,20.7311840057373,10
136,Multitasker|Generalist|Self-Assured|Dislike Distractions|Outwardly Inspired|Rational|Tidy|Perfectionist|Risk-Friendly|Let It Happen|Private Spaces|Quiet/Silence|Nature-Agnostic|Novelty-Seeker,Socialis Adventurous,"Collaborator, Risk-Friendly, Multitasker, Reframer, Kinetic",Male,Business-Entrepreneurship|Arts-Design,Creative Species 3,14,-0.8547887067824074,0.1450500008653244,0.1881033945811274,9.669098854064941,-0.8275865912437439,136,136,9.669098854064941,-0.8275865912437439,10
139,Specialist|Solo Creator|Self-Assured|Love Distractions|Outwardly Inspired|Internally Motivated|Comforting Mess|Slow-Paced|Risk-Averse|Let It Happen|Reframer|Noise/Music|Novelty-Seeker|Stimulated By Constraints|Night Owl,Novo Gregarious,"Novelty-Seeker, Externally Motivated, Outwardly Inspired, Collaborator, Noise/Music",Male,Arts-Design,Creative Species 5,16,-0.1821888555882458,0.2157468191478465,0.1024602927436936,16.93002510070801,-17.44165802001953,139,139,16.93002510070801,-17.44165802001953,10
144,Multitasker|Generalist|Collaborator|Outwardly Inspired|Externally Motivated|Kinetic|Risk-Averse|Make It Happen|Public Spaces|Novelty-Seeker|Stimulated By Constraints,Novo Gregarious,"Novelty-Seeker, Externally Motivated, Outwardly Inspired, Collaborator, Noise/Music",Male,,Creative Species 5,12,-0.6762397865895458,0.6294152622080085,0.1024602927436936,27.42205238342285,-16.50116348266602,144,144,27.42205238342285,-16.50116348266602,10
145,Monotasker|Generalist|Solo Creator|Self-Critical|Dislike Distractions|Inwardly Inspired|Intuitive|Internally Motivated|NonKinetic|Comforting Mess|Risk-Averse|Tenacious|Private Spaces|Stifled By Constraints,Sui Inspira,"Routine-Seeker, Private Spaces, Internally Motivated, Solo Creator, Inwardly Inspired",,,Creative Species 6,15,0.6481041747770282,0.06967805262072402,0.09820409010692412,-20.14745330810547,7.387588977813721,145,145,-20.14745330810547,7.387588977813721,10
147,Solo Creator|Self-Critical|Internally Motivated|Risk-Friendly|Let It Happen|Noise/Music|Stifled By Constraints|Night Owl,Yolo Chaotis,"Novelty-Seeker, Risk-Friendly, Stifled By Constraints, Internally Motivated, Multitasker",,,Creative Species 2,8,-0.9463927305757337,0.09754681435815156,0.1993148551853005,6.046705722808838,22.7961540222168,147,147,6.046705722808838,22.7961540222168,10
151,Generalist|Solo Creator|Self-Critical|Outwardly Inspired|Internally Motivated|Kinetic|Comforting Mess|Slow-Paced|Perfectionist|Risk-Friendly|Reframer|Private Spaces|Quiet/Silence|Nature-Lover|Novelty-Seeker|Stifled By Constraints|Night Owl,Focus Mononovous,"Novelty-Seeker, Monotasker, Stifled By Constraints, Quiet/Silence, Dislike Distractions",,,Creative Species 4,17,2.679347732260617,0.8171247491205702,0.1397280182705284,1.483915328979492,1.213174939155579,151,151,1.483915328979492,1.213174939155579,10
154,Solo Creator|Love Distractions|Outwardly Inspired|Internally Motivated|Comforting Mess|Slow-Paced|Risk-Friendly|Let It Happen|Private Spaces|Quiet/Silence|Novelty-Seeker|Stifled By Constraints|Night Owl,Focus Mononovous,"Novelty-Seeker, Monotasker, Stifled By Constraints, Quiet/Silence, Dislike Distractions",Male,Arts-Design,Creative Species 4,13,1.033047513082606,0.242327674360067,0.1397280182705284,-4.079508781433105,16.86709403991699,154,154,-4.079508781433105,16.86709403991699,10
156,Generalist|Solo Creator|Self-Critical|Dislike Distractions|Inwardly Inspired|Externally Motivated|Kinetic|Tidy|Fast-Paced|Pragmatist|Risk-Friendly|Let It Happen|Reframer|Private Spaces|Quiet/Silence|Nature-Lover|Routine-Seeker|Stimulated By Constraints|Early Bird,Socialis Adventurous,"Collaborator, Risk-Friendly, Multitasker, Reframer, Kinetic",Male,Science-Engineering,Creative Species 3,20,0.3231571434392947,0.7859742556582296,0.1881033945811274,7.557094097137451,-8.54377555847168,156,156,7.557094097137451,-8.54377555847168,10
157,Monotasker|Solo Creator|Self-Critical|Dislike Distractions|Outwardly Inspired|Intuitive|Externally Motivated|Tidy|Slow-Paced|Perfectionist|Risk-Averse|Make It Happen|Reframer|Private Spaces|Novelty-Seeker|Stimulated By Constraints|Early Bird,Mono Routinus,"Risk-Averse, Routine-Seeker, Dislike Distractions, Monotasker, Make It Happen",Male,Science-Engineering|Arts-Design,Creative Species 1,18,-0.6684782558846943,0.843969249717629,0.2128101318384719,-14.2094898223877,-15.13574504852295,157,157,-14.2094898223877,-15.13574504852295,10
161,Monotasker|Collaborator|Self-Critical|Inwardly Inspired|Intuitive|Internally Motivated|Comforting Mess|Pragmatist|Risk-Friendly|Let It Happen|Tenacious|Private Spaces|Noise/Music|Novelty-Seeker|Stifled By Constraints|Night Owl,Yolo Chaotis,"Novelty-Seeker, Risk-Friendly, Stifled By Constraints, Internally Motivated, Multitasker",Female,Science-Engineering|Arts-Design,Creative Species 2,16,-0.5239127654167769,1.106537904843507,0.1993148551853005,-2.93461799621582,21.69384384155273,161,161,-2.93461799621582,21.69384384155273,10
